Kind	Id	Http	AcCount	Placeholder	TitleEqId	Status	Title	TrIds	TestIds	BodyPreview
fr	FR-MCP-HOSTILEREVIEW-001	200	4	False	False	pending	Enqueue bounded hostile review request			An authenticated agent can enqueue a bounded hostile review request scoped to the active workspace. The request includes target type, mode, scope statement, artifact links, requester identity, workspace identity, and optional acceptance cri
fr	FR-MCP-HOSTILEREVIEW-002	200	3	False	False	pending	Artifact links resolve through MCP APIs			Artifact links resolve only through supported MCP APIs (TODO, FR/TR/TEST, session log, triage, plans, files, commits, generated docs). Missing, unauthorized, stale, or ambiguous links produce diagnostics, not silent omission.
fr	FR-MCP-HOSTILEREVIEW-003	200	3	False	False	pending	Reviewer run records model effort identity			Each reviewer execution records model, effort, agent identity, plugin/source, prompt template/version, run id, timestamps, and token/runtime metadata when available. Missing metadata is omitted with a diagnostic, never fabricated.
fr	FR-MCP-HOSTILEREVIEW-004	200	3	False	False	pending	Normalized findings and request quality			Normalized findings distinguish defects, risks, missing tests, unclear requirements, insufficient disclosure, out-of-scope, and uncertainty. Verdicts are AGREE, DISAGREE, or UNKNOWN. Request-quality scores disclosure, scope clarity, objecti
fr	FR-MCP-HOSTILEREVIEW-005	200	3	False	False	pending	Query failure modes by dimensions			Query reports filter by workspace, model, effort, requesting agent, reviewer agent, target type, artifact type, severity, and category. Combined filters AND. Empty match is empty list.
fr	FR-MCP-HOSTILEREVIEW-006	200	3	False	False	pending	Default queue-and-record no auto mutation			Default behavior is queue-and-record. Completing a review does not edit product files, requirements, or TODOs. Surfaces expose submit/status/get/query only.
fr	FR-MCP-HYGIENE-001	200	3	False	False	pending	Read-only workspace validation service			A read-only workspace validation service uses a versioned rule registry and a shared result contract with rule code/version, severity, entity kind, workspace identity, record IDs, evidence, remediation, run timestamp, duration, and summary 
fr	FR-MCP-HYGIENE-002	200	5	False	False	pending	Traceability and missing-AC rules			Rules identify FR/TR/TEST with no AC rows, TR with no FR, FR lacking TR/TEST, TEST with no FR, and broken or duplicate mappings.
fr	FR-MCP-HYGIENE-003	200	6	False	False	pending	TODO consistency rules			Rules identify done=true with incomplete tasks, done=false with all tasks complete, completion without doneSummary, remaining vs completion contradiction, missing dependency targets, and missing referenced requirement IDs.
fr	FR-MCP-HYGIENE-004	200	6	False	False	pending	Stale turns and non-terminal triage			Turns in_progress more than 48h after authoritative timestamp (injectable UTC clock) are findings. Triage reports in live non-terminal states are findings. Override threshold is positive, at most 168h, authenticated, recorded.
fr	FR-MCP-HYGIENE-005	200	5	False	False	pending	Surface parity and no auto-repair			REST, Director, REPL, and plugin skill expose the same validation. Same rule codes, identities, severities, counts, and threshold. Never auto-repair. Director exit 1 on Error or Critical; exit 0 when empty or Warning-only.
fr	FR-MCP-WIKIEXPORT-003	200	3	False	False	pending	Optional wiki export JSON dump			Optional --include-dump on wiki export emits versioned JSON dump of MCP tables keyed by source workspace, including TODO rows and requirement links. No-flag behavior is unchanged.
fr	FR-MCP-WIKIEXPORT-004	200	3	False	False	pending	add-workspace dump hydration			add-workspace --dump on WorkspaceClient.CreateAsync / POST /mcpserver/workspace hydrates TODOs from dump, remaps workspace identity, rejects malformed dumps with no partial write.
fr	FR-MCP-WIKIEXPORT-005	200	3	False	False	pending	todo.yaml deprecation			todo.yaml is deprecated as TODO source of truth. When dump and todo.yaml both exist, dump wins and a diagnostic names both. Cleanup archives to .mcpServer/archive/todo-yaml/ with evidence. Never silent delete.
fr	FR-MCP-WIKIEXPORT-001	200	7	False	False	completed	Configurable requirements wiki export tree			Requirements wiki export must optionally discover docs/wiki.yaml in the active workspace and use it as the authoritative wiki document tree, navigation tree, optional home template, and flattened document list for GitHub and Azure wiki expo
